sim_id,students,coffee_machines,avg_wait_time,missed_coffee,no_attempts,total_attempts,avg_idle_time
0,30,1,16.142857142857142,18,23,7,69.0
1,30,1,13.625,19,22,10,73.0
2,30,1,10.444444444444445,19,21,10,72.0
3,30,1,9.875,21,22,9,67.0
4,30,1,15.0,19,23,9,67.0
5,30,1,13.666666666666666,15,21,11,72.0
6,30,1,14.833333333333334,19,24,6,66.0
7,30,1,19.0,18,24,7,68.0
8,30,1,15.285714285714286,19,23,7,66.0
9,30,1,17.0,17,24,7,73.0
10,30,1,12.666666666666666,17,21,9,71.0
11,30,1,10.0,19,24,6,68.0
12,30,1,14.375,20,22,8,69.0
13,30,1,9.714285714285714,18,23,7,70.0
14,30,1,11.555555555555555,17,21,9,68.0
15,30,1,16.5,19,22,10,69.0
16,30,1,19.166666666666668,18,24,7,69.0
17,30,1,12.375,20,22,8,73.0
18,30,1,13.0,18,23,8,70.0
19,30,1,15.833333333333334,18,24,6,70.0
20,30,1,22.75,18,26,5,64.0
21,30,1,15.142857142857142,18,23,8,68.0
22,30,1,11.833333333333334,20,24,6,74.0
23,30,1,14.25,20,22,9,73.0
24,30,1,13.8,19,25,6,67.0
25,30,1,14.142857142857142,18,23,7,72.0
26,30,1,6.666666666666667,20,24,6,70.0
27,30,1,15.857142857142858,17,23,8,72.0
28,30,1,12.88888888888889,17,21,11,74.0
29,30,1,8.5,19,22,8,69.0
30,30,1,15.285714285714286,17,23,7,74.0
31,30,1,14.5,17,22,9,65.0
32,30,1,14.0,19,22,9,65.0
33,30,1,8.857142857142858,19,23,7,72.0
34,30,1,11.0,18,21,9,72.0
35,30,1,15.333333333333334,18,24,7,68.0
36,30,1,9.272727272727273,18,19,11,71.0
37,30,1,11.363636363636363,15,19,12,74.0
38,30,1,14.142857142857142,19,23,7,71.0
39,30,1,11.0,18,22,8,68.0
40,30,1,13.571428571428571,18,23,10,74.0
41,30,1,12.0,18,23,9,71.0
42,30,1,11.666666666666666,19,21,9,65.0
43,30,1,12.777777777777779,17,21,9,71.0
44,30,1,12.555555555555555,18,21,9,69.0
45,30,1,14.3,18,20,11,74.0
46,30,1,10.5,19,22,9,70.0
47,30,1,14.0,17,20,10,74.0
48,30,1,10.8,19,25,5,70.0
49,30,1,15.625,20,22,8,66.0
50,30,1,17.857142857142858,18,23,7,68.0
51,30,1,15.666666666666666,19,24,7,65.0
52,30,1,10.142857142857142,18,23,7,67.0
53,30,1,14.0,19,23,7,68.0
54,30,1,12.444444444444445,18,21,9,74.0
55,30,1,11.0,19,24,6,67.0
56,30,1,8.083333333333334,17,18,12,68.0
57,30,1,12.11111111111111,19,21,10,73.0
58,30,1,10.428571428571429,19,23,8,73.0
59,30,1,10.125,20,22,8,70.0
60,30,1,11.5,19,22,8,72.0
61,30,1,15.0,17,21,10,70.0
62,30,1,16.166666666666668,19,24,7,73.0
63,30,1,14.25,19,22,8,74.0
64,30,1,11.444444444444445,18,21,9,74.0
65,30,1,15.5,19,22,10,71.0
66,30,1,8.428571428571429,20,23,7,72.0
67,30,1,19.285714285714285,17,23,8,67.0
68,30,1,13.777777777777779,18,21,10,71.0
69,30,1,13.11111111111111,17,21,9,68.0
70,30,1,10.571428571428571,18,23,7,66.0
71,30,1,12.8,20,25,7,74.0
72,30,1,14.0,18,22,8,68.0
73,30,1,13.857142857142858,18,23,8,72.0
74,30,1,15.666666666666666,18,21,9,67.0
75,30,1,15.25,18,22,8,69.0
76,30,1,10.25,19,22,9,67.0
77,30,1,14.375,17,22,10,68.0
78,30,1,12.285714285714286,18,23,8,67.0
79,30,1,12.11111111111111,18,21,9,69.0
80,30,1,14.5,17,22,9,71.0
81,30,1,13.181818181818182,17,19,11,67.0
82,30,1,9.555555555555555,20,21,10,68.0
83,30,1,16.125,18,22,9,71.0
84,30,1,8.6,20,25,5,66.0
85,30,1,15.375,19,22,9,65.0
86,30,1,17.857142857142858,17,23,8,69.0
87,30,1,15.25,18,22,8,74.0
88,30,1,15.25,18,22,8,69.0
89,30,1,9.625,20,22,8,71.0
90,30,1,12.0,17,20,11,71.0
91,30,1,11.428571428571429,19,23,7,69.0
92,30,1,12.25,19,22,8,68.0
93,30,1,13.0,19,22,8,73.0
